	 SubG 	                          Name 	          RA 	        DEC 	    Mass 	  VMag 	 e_VMag 	 E_VMag 	   R2 	 e_R2 	 E_R2 	 sigma* 	 e_sigma* 	 E_sigma* 	  Mdyn 	 Mdyn2 	 e_Mdyn2 	 E_Mdyn2 	      LV 	    e_LV 	    E_LV 	     ML 	    e_ML 	    E_ML 	   Mtot 	 e_Mtot 	 E_Mtot 	 SoloCrossmatch 	
	  ISO 	                         Leo T 	 09h34m53.4s 	 +17d03m05s 	    0.14 	  -8.0 	    0.5 	    0.5 	  120 	    9 	    9 	    7.5 	      1.6 	      1.6 	   3.9 	   3.9 	     1.7 	     1.7 	   0.136 	   0.062 	   0.062 	   58.0 	    37.0 	    37.0 	    7.8 	    3.4 	    3.4 	           True 	
	   MW 	                         Leo V 	 11h31m09.6s 	 +02d13m12s 	   0.011 	  -5.2 	    0.4 	    0.4 	  135 	   32 	   32 	    3.7 	      1.4 	      2.3 	   1.1 	  1.07 	    0.85 	     1.4 	  0.0103 	  0.0038 	  0.0038 	  210.0 	   180.0 	   270.0 	    2.1 	    1.7 	    2.7 	          False 	
	  M31 	                           M32 	 00h42m41.8s 	 +40d51m55s 	   320.0 	 -16.4 	    0.2 	    0.2 	  110 	   16 	   16 	   92.0 	      5.0 	      5.0 	 540.0 	 540.0 	    98.0 	    98.0 	   310.0 	    57.0 	    57.0 	   3.48 	     0.9 	     0.9 	 1080.0 	  200.0 	  200.0 	           True 	
	  M31 	                       NGC 147 	 00h33m12.1s 	 +48d30m32s 	    62.0 	 -14.6 	    0.1 	    0.1 	  623 	      	      	   16.0 	      1.0 	      1.0 	  93.0 	  93.0 	    26.0 	    26.0 	    59.2 	     5.4 	     5.4 	   3.13 	    0.92 	    0.92 	  185.0 	   52.0 	   52.0 	           True 	
	  M31 	                       NGC 185 	   00h38m58s 	 +48d20m15s 	    68.0 	 -14.8 	    0.1 	    0.1 	  458 	      	      	   24.0 	      1.0 	      1.0 	 150.0 	 153.0 	    40.0 	    40.0 	    71.1 	     6.6 	     6.6 	    4.3 	     1.2 	     1.2 	  306.0 	   81.0 	   81.0 	           True 	
	  M31 	                       NGC 205 	 00h40m22.1s 	 +41d41m07s 	   330.0 	 -16.5 	    0.1 	    0.1 	  590 	   31 	   31 	   35.0 	      5.0 	      5.0 	 420.0 	 420.0 	   120.0 	   120.0 	   340.0 	    31.0 	    31.0 	   2.46 	    0.75 	    0.75 	  840.0 	  240.0 	  240.0 	           True 	
	   MW 	              Sagittarius dSph 	 18h55m19.5s 	 -30d32m43s 	    21.0 	 -13.5 	    0.3 	    0.3 	 2587 	  219 	  219 	   11.4 	      0.7 	      0.7 	 190.0 	 195.0 	    29.0 	    29.0 	    21.5 	     5.9 	     5.9 	   18.2 	     5.7 	     5.7 	  390.0 	   58.0 	   58.0 	           True 	
	   MW 	                      Sculptor 	 01h00m09.4s 	 -33d42m33s 	     2.3 	 -11.1 	    0.5 	    0.5 	  283 	   45 	   45 	    9.2 	      1.4 	      1.4 	  14.0 	  13.9 	     4.8 	     4.8 	     2.4 	     1.1 	     1.1 	   11.8 	     6.8 	     6.8 	   27.8 	    9.5 	    9.5 	           True 	
	   MW 	                     Segue (I) 	   10h07m04s 	 +16d04m55s 	 0.00034 	  -1.5 	    0.8 	    0.8 	   29 	    5 	    8 	    3.9 	      0.8 	      0.8 	  0.26 	  0.26 	    0.11 	    0.13 	 0.00034 	 0.00025 	 0.00025 	 1500.0 	  1300.0 	  1300.0 	   0.51 	   0.23 	   0.25 	          False 	
	   MW 	                      Segue II 	   02h19m16s 	 +20d10m31s 	 0.00086 	  -2.5 	    0.3 	    0.3 	   35 	    3 	    3 	    3.4 	      1.2 	      2.5 	  0.23 	  0.23 	    0.17 	    0.35 	 0.00086 	 0.00024 	 0.00024 	  550.0 	   420.0 	   820.0 	   0.47 	   0.33 	   0.69 	          False 	
	   MW 	                   Sextans (I) 	   10h13m03s 	 -01d36m53s 	    0.44 	  -9.3 	    0.5 	    0.5 	  695 	   44 	   44 	    7.9 	      1.3 	      1.3 	  25.0 	  25.2 	     8.4 	     8.4 	    0.45 	    0.21 	    0.21 	  112.0 	    64.0 	    64.0 	   50.0 	   17.0 	   17.0 	          False 	
	  ISO 	                        Tucana 	 22h41m49.6s 	 -64d25m10s 	    0.56 	  -9.5 	    0.2 	    0.2 	  284 	   54 	   54 	   15.8 	      3.1 	      4.1 	  41.0 	  41.0 	    18.0 	    23.0 	    0.54 	   0.099 	   0.099 	  152.0 	    72.0 	    89.0 	   82.0 	   36.0 	   45.0 	           True 	
	   MW 	                Ursa Major (I) 	 10h34m52.8s 	 +51d55m12s 	   0.014 	  -5.5 	    0.3 	    0.3 	  319 	   50 	   50 	    7.6 	      1.0 	      1.0 	  11.0 	  10.7 	     3.3 	     3.3 	  0.0136 	  0.0037 	  0.0037 	 1580.0 	   650.0 	   650.0 	   21.4 	    6.5 	    6.5 	          False 	
	   MW 	                 Ursa Major II 	   08h51m30s 	 +63d07m48s 	  0.0041 	  -4.2 	    0.6 	    0.6 	  149 	   21 	   21 	    6.7 	      1.4 	      1.4 	   3.9 	   3.9 	     1.7 	     1.7 	  0.0041 	  0.0023 	  0.0023 	 1900.0 	  1300.0 	  1300.0 	    7.8 	    3.4 	    3.4 	          False 	
	   MW 	                    Ursa Minor 	 15h09m08.5s 	 +67d13m21s 	    0.29 	  -8.8 	    0.5 	    0.5 	  181 	   27 	   27 	    9.5 	      1.2 	      1.2 	   9.5 	   9.5 	     2.8 	     2.8 	    0.28 	    0.13 	    0.13 	   67.0 	    37.0 	    37.0 	   18.9 	    5.6 	    5.6 	           True 	
	  ISO 	   WLM (Wolf-Lundmark-Melotte) 	 00h01m58.2s 	 -15d27m39s 	    43.0 	 -14.2 	    0.1 	    0.1 	 2111 	      	      	   17.5 	      2.0 	      2.0 	 380.0 	 370.0 	   130.0 	   130.0 	    40.9 	     3.8 	     3.8 	   18.3 	     6.4 	     6.4 	  750.0 	  250.0 	  250.0 	           True 	
	   MW 	                     Willman 1 	   10h49m21s 	 +51d03m00s 	   0.001 	  -2.7 	    0.8 	    0.8 	   25 	    6 	    6 	    4.3 	      1.3 	      2.3 	  0.27 	  0.27 	    0.17 	    0.29 	 0.00103 	 0.00076 	 0.00076 	  520.0 	   510.0 	   690.0 	   0.54 	   0.35 	   0.59 	          False 	
