SubG,n_Name,Name,MType,RAJ2000,DEJ2000,D,u_D,HRV,f_HRV,D(MW),V(MW),D(LG),V(LG),S,Vmag,u_Vmag,R1,u_R1,muV,f_muV,PA,f_PA,Ell,f_Ell,VMag,f_VMag,Mass,Mdyn,[Fe/H],u_[Fe/H],SimbadName,(m-M),D(M31),E(B-V),E_(m-M),e_(m-M),e_[Fe/H],E_D,e_D,E_muV,e_muV,E_R1,e_R1,E_R2,e_R2,E_sigma*,e_sigma*,e_v_HI,E_Vmag,e_Vmag,E_VMag,e_VMag,e_vsini*,f_M_HI,f_sigma*,f_vsini*,l_sigma*,l_v_HI,M_HI,sigma*,u_(m-M),u_v_HI,V(M31),v_HI,vsini*,Com1,Com3,Com4,Com5,e_Ell,e_HRV,e_PA,e_sigHI,f_OName,f_Ref1,f_Ref2,f_Ref4,GLAT,GLON,l_sigHI,Meth,muEff,OName,R2,Ref1,Ref2,Ref3,Ref4,Ref5,sigHI,u_R2,u_sigHI
"Rest","N  ","KKH 98","dIrr",356.3916666666666,38.71777777777777,2523, ,-136.9, ,2526,60,2140,152, ,15.2,"  ",0.64, ,22.8,"  ",-5,"  ",0.41, ,-11.8, ,4.5,,-1.94, ,"LEDA 2807157",27.01,1762,0.123,0.09,0.09,0.25,105,105,0.2,0.2,0.06,0.06,48,48,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",6.6,,"  ", ,184,,,"","","HI line widths available in Begum et al. (2008MNRAS.386.1667B) and Huchtmeier et al. (2003A&A...401..483H)","",0.01,1.0,1,, , , , ,-22.4,109.1, ,"RGB color",24.5,"",470,"364","59,83","136,138","267","436",, , 
"Rest","N  ","UKS 2323-326","dIrr",351.61458333333326,-32.388888888888886,2208, ,62.0, ,2205,74,2145,99, ,13.5,"  ",0.9, ,22.9,"  ",-60,"  ",0.1, ,-13.2, ,17.0,,-1.68, ,"UKS 2323-32.6",26.72,2153,0.015,0.09,0.09,0.19,92,92,0.2,0.2,0.1,0.1,69,69,,,,0.2,0.2,0.2,0.2,,:, , ,"  ","  ",17.0,,"  ", ,107,,,"NGC 55 sub-group, forming 'bridge' to Sculptor?","","See also Huchtmeier & Richter (1986A&AS...63..323H); HI line widths available in Longmore et al. (1982MNRAS.200..325L) and Huchtmeier & Richter (1986A&AS...63..323H)","",0.01,5.0,4,, , , , ,-70.9,11.9, ,"RGB color",24.0,"UGCA 438",578,"354","59,86","141,138","268","436",, , 
"Rest","N  ","KKR 3","dIrr",211.79374999999996,35.06027777777777,2188, ,63.3, ,2187,135,2297,127, ,17.2,"  ",0.36, ,23.8,"  ",0,"  ",0.05, ,-9.5, ,0.54,,-2.02, ,"LEDA 166185",26.7,2464,0.014,0.12,0.12,0.25,121,121,0.2,0.2,0.04,0.04,28,28,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",2.5,,"  ",N,121,,,"Member of the Canes Venatici I cloud","","HI velocity gradient of ~3.3km/s/arcmin","",0.01,1.8,1,0.5, , , , ,72.0,63.7, ,"RGB color",25.8,"KK 230",229,"365","59,87","136,138","269","436",7.5, , 
"Rest","N  ","GR 8","dIrr",194.6683333333333,14.217499999999998,2178, ,213.9, ,2177,182,2421,136, ,14.5,"  ",0.32, ,22.6,"  ",61,"  ",0.2, ,-12.2, ,6.4,,, ,"UGC 8091",26.69,2699,0.026,0.12,0.12,,120,120,0.2,0.2,0.04,0.04,28,28,,,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",11.0,,"  ",N,117,,,"Gibson Reaves gave this galaxy his initials","","Lumpy HI velocity distribution, with some evidence of an overall velocity gradient","",0.05,2.5,2,0.2, , ,o, ,77.0,310.7, ,"",22.7,"UGC 8091,VV 558,DDO 155",203,"366","59,69","142,143","248","",7.0, , 
"Rest","N  ","UGC 9128","dIrr",213.98541666666662,23.055277777777775,2291, ,152.0, ,2288,195,2465,172, ,14.4,"  ",0.64, ,22.6,"  ",46,"  ",0.4, ,-12.4, ,7.8,,-2.33, ,"UGC 9128",26.8,2686,0.023,0.04,0.04,0.24,42,42,0.2,0.2,0.07,0.07,47,47,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",18.0,,"  ",:,159,56.0,,"","","See also Begum et al. (2008MNRAS.386.1667B)","",0.05,1.0,2,, , , , ,70.5,25.6,<,"RGB color",23.8,"DDO 187",427,"351","59,63","143,136","249","436",15.0, , 
"Rest","N  ","UGC 8508","dIrr",202.68499999999997,54.90999999999999,2582, ,56.0, ,2583,165,2566,181, ,13.7,"  ",0.42, ,21.5,"  ",-60,"  ",0.45, ,-13.4, ,19.0,,-1.91, ,"UGC 8508",27.06,2609,0.015,0.03,0.03,0.19,36,36,0.2,0.2,0.04,0.04,30,30,,,2.3,0.1,0.1,0.1,0.1,, , , ,"  ","  ",29.0,,"  ", ,184,31.2,,"","","","",0.05,5.0,2,, , , , ,61.3,111.1, ,"RGB color",22.1,"",315,"367","88,89","143,136","267,270","436",, , 
"Rest","N  ","IC 3104","dIrr",184.69166666666663,-79.7261111111111,2270, ,429.0, ,2266,242,2588,170, ,12.8,":l",2.01,:,23.3,": ",45,"  ",0.52, ,-14.0,:,62.0,,, ,"IC 3104",26.78,2923,0.41,0.18,0.18,,188,188,,,,,,,,,,,,,,, , , ,"  ","  ",13.0,,"  ",N,144,,,"","r_25_=1.9+/-0.1arcmins","HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)","",0.02,4.0,2,, , , , ,-17.0,301.4, ,"",24.4,"ESO 020- G 004,UKS 1215-794",1327,"368","90,67","108","245","",,:, 
"Rest","N  ","DDO 125","dIrr",186.92041666666665,43.49555555555555,2582, ,194.9, ,2584,245,2646,240, ,12.7,"  ",1.04, ,22.1,"  ",-68,"  ",0.41, ,-14.4, ,47.0,,-1.73, ,"DDO 125",27.06,2764,0.02,0.05,0.05,0.17,59,59,0.2,0.2,0.1,0.1,77,77,,,2.7,0.3,0.3,0.3,0.3,, , , ,"  ","  ",35.0,,"  ", ,237,11.2,,"","","HI rotational velocity measured at r = 2 arcmin; see also Huchtmeier et al. (2003A&A...401..483H), Begum et al. (2008MNRAS.386.1667B), and Swaters et al. (2009A&A...493..871S)","",0.01,0.2,4,1.5, , , , ,72.9,137.8, ,"RGB color",23.1,"UGC 7577",781,"351","88,83","136,138","271,272","436",7.3, , 
"Rest","N  ","UGCA 86","dIrr",59.951249999999995,67.1386111111111,2965, ,67.0, ,2971,209,2663,275, ,14.2,":l",0.94,:,22.8,": ",25,"  ",0.32, ,-13.2,:,16.0,,, ,"UGCA 86",27.36,2387,0.938,0.17,0.17,,232,232,,,,,,,,,5.0,,,,,, , , ,"  ","  ",860.0,,"  ", ,302,122.0,,"Companion of IC 342","r_25_=2.3+/-0.2arcmins","HI structure consists of a rotating disk and a kinematically distinct, elongated 'spur'","",0.03,4.0,1,1.0, , , , ,10.6,139.8, ,"",24.5,"",811,"369","91,41","144,138","273","",8.8,:, 
"Rest","N  ","DDO 99","dIrr",177.7208333333333,38.88027777777777,2594, ,251.0, ,2596,272,2683,257, ,13.9,"  ",0.9, ,22.9,"  ",70,"  ",0.29, ,-13.2, ,16.0,,-2.13, ,"DDO 99",27.07,2824,0.026,0.14,0.14,0.22,167,167,0.2,0.2,0.09,0.09,81,81,,,,0.1,0.1,0.2,0.2,, , , ,"  ","  ",52.0,,"  ", ,252,,,"","","HI line widths available in Begum et al. (2008MNRAS.386.1667B)","",0.01,4.0,4,, , , , ,72.7,166.2, ,"RGB color",24.2,"UGC 6817",679,"351","88,89","142,138","267","436",, , 
"Rest","N  ","IC 4662","dIrr",266.78666666666663,-64.64166666666665,2443, ,302.0, ,2436,192,2722,139, ,11.1,"  ",0.48, ,18.7,"  ",-69,"  ",0.27, ,-15.8, ,190.0,,-1.34, ,"IC 4662",26.94,3027,0.07,0.17,0.17,0.13,191,191,0.2,0.2,0.05,0.05,44,44,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",180.0,,"  ", ,116,,,"","","HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)","",0.01,3.0,4,, , , , ,-17.8,328.5, ,"RGB color",20.1,"ESO 102- G 014",341,"370","91,67","136,138","245","436",, , 
"Rest","N  ","DDO 190","dIrr",216.1808333333333,44.525833333333324,2793, ,150.0, ,2793,256,2829,263, ,12.8,"  ",0.64, ,21.4,"  ",82,"  ",0.1, ,-14.4, ,51.0,,-2.0, ,"DDO 190",27.23,2917,0.012,0.03,0.03,0.08,39,39,0.2,0.2,0.06,0.06,49,49,,,2.5,0.1,0.1,0.1,0.1,, , , ,"  ","  ",43.0,,"  ", ,263,24.7,,"","","HI rotational velocity measured at r=1.5arcmin","",0.02,4.0,5,2.4, , , , ,64.5,82.0, ,"RGB color",22.6,"UGC 9240",520,"351","88,92","145,136","271,272","437",10.0, , 
"Rest","N  ","KKH 86","dIrr",208.6395833333333,4.243055555555555,2582, ,287.2, ,2578,259,2856,209, ,17.1,"  ",0.28, ,23.2,"  ",-3,"  ",0.39, ,-10.0, ,0.82,,-2.33, ,"LEDA 2807150",27.06,3157,0.027,0.16,0.16,0.29,190,190,0.2,0.2,0.03,0.03,27,27,,,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",0.88,,"  ", ,186,,,"","","HI line widths available in Karachentsev et al. (2001, Cat. J/A+A/366/428)","",0.01,0.7,1,, , , , ,62.6,339.0, ,"RGB color",24.7,"",210,"364","88,83","136,138","274","436",, , 
