SubG,n_Name,Name,MType,RAJ2000,DEJ2000,D,u_D,HRV,f_HRV,D(MW),V(MW),D(LG),V(LG),S,Vmag,u_Vmag,R1,u_R1,muV,f_muV,PA,f_PA,Ell,f_Ell,VMag,f_VMag,Mass,Mdyn,[Fe/H],u_[Fe/H],SimbadName,(m-M),D(M31),E(B-V),E_(m-M),e_(m-M),e_[Fe/H],E_D,e_D,E_muV,e_muV,E_R1,e_R1,E_R2,e_R2,E_sigma*,e_sigma*,e_v_HI,E_Vmag,e_Vmag,E_VMag,e_VMag,e_vsini*,f_M_HI,f_sigma*,f_vsini*,l_sigma*,l_v_HI,M_HI,sigma*,u_(m-M),u_v_HI,V(M31),v_HI,vsini*,Com1,Com3,Com4,Com5,e_Ell,e_HRV,e_PA,e_sigHI,f_OName,f_Ref1,f_Ref2,f_Ref4,GLAT,GLON,l_sigHI,Meth,muEff,OName,R2,Ref1,Ref2,Ref3,Ref4,Ref5,sigHI,u_R2,u_sigHI
"MW  ","G  ","Pisces II","dSph",344.6291666666666,5.952499999999999,182,:,, ,181,,285,, ,16.3,"  ",1.1, ,25.7,"  ",77,"  ",0.4, ,-5.0,:,0.0086,,-1.9,:,"Pisces II",21.3,660,0.065,,,,,,0.6,0.6,0.1,0.1,99,99,,,,0.5,0.5,,,, , , ,"  ","  ",,,": ", ,,,,"Awaiting spectr. confirmation","","","",0.1,,12,, , , , ,-47.1,79.2, ,"Isochrones",26.8,"",58,"317","35   ","111","","317",, , 
"MW  ","G  ","Canes Venatici (I)","dSph",202.0145833333333,33.555833333333325,218, ,30.9, ,218,78,493,62, ,13.1,"  ",8.9, ,27.1,"  ",70,"  ",0.39, ,-8.6, ,0.23,19.0,-1.98, ,"CVn I dSph",21.69,864,0.014,0.1,0.1,0.01,10,10,0.2,0.2,0.4,0.4,36,36,0.4,0.4,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",,7.6,"  ",N,54,,,"","","","",0.03,0.6,4,, , , , ,79.8,74.3, ,"MRS",28.2,"",564,"318","36,8 ","105","207,205","403,404",, , 
"MW  ","G  ","Leo II","dSph",168.36999999999998,22.151666666666664,233, ,78.0, ,236,24,529,-16, ,12.0,"  ",2.6, ,24.2,"  ",12,"  ",0.13, ,-9.8, ,0.74,4.6,-1.62, ,"Leo II",21.84,901,0.017,0.13,0.13,0.01,14,14,0.3,0.3,0.6,0.6,42,42,0.7,0.7,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",,6.6,"  ",N,-29,,,"","","","See also Koch et al. (2007, Cat. J/AJ/133/270)",0.05,0.1,10,, , ,j, ,67.2,220.2, ,"MRS",24.8,"Leo B,UGC 6253,DDO 93",176,"319","37,22","109","218,205","404",, , 
"MW  ","G,L","Leo I","dSph",152.1170833333333,12.306388888888888,254, ,282.5, ,258,174,551,125, ,10.0,"  ",3.4, ,22.6,"  ",79,"  ",0.21, ,-12.0, ,5.5,12.0,-1.43, ,"Leo I",22.02,922,0.036,0.13,0.13,0.01,15,15,0.3,0.3,0.3,0.3,27,27,1.4,1.4,,0.3,0.3,0.3,0.3,, , ,N,"  ","  ",,9.2,"  ",N,111,,,"","","","See also Koch et al. (2007, Cat. J/AJ/133/270)",0.03,0.1,3,, , , , ,49.1,226.0, ,"MRS",23.3,"UGC 5470,DDO 74,Regulus Dwarf",251,"319","38,39","109","228,205","404",, , 
"M31 ","A  ","Andromeda","Sb",10.684583333333332,41.26916666666666,783, ,-300.0, ,787,-122,392,-34, ,,"  ",, ,,"  ",,"  ",, ,, ,,,, ,"Andromeda",24.47,0,0.684,0.07,0.07,,25,25,,,,,,,,,,,,,,, , , ,"  ","  ",,,"  ", ,0,,,"","","","",,4.0,,, , , , ,-21.6,121.2, ,"",,"M31,NGC 224,UGC 454",,"","40,41","","","",, , 
"M31 ","A  ","M32","cE",10.674166666666665,40.86527777777777,805, ,-199.0, ,809,-22,414,67, ,8.1,"  ",0.47, ,11.1,":f",159,"  ",0.25, ,-16.4, ,320.0,540.0,-0.25, ,"M 32",24.53,23,0.154,0.21,0.21,,78,78,,,0.05,0.05,16,16,5.0,5.0,,0.1,0.1,0.2,0.2,3.0, , , ,"  ","  ",,92.0,"  ",N,100,,55.0,"","","Stellar velocity dispersion rises rapidly toward center and presents strong evidence for a supermassive black hole (e.g., see also van der Marel et al., 1997ApJ...488..119V)","Likely significant age spread and gradients?",0.02,6.0,2,, , , , ,-22.0,121.2, ,"Isochrones",17.0,"NGC 221,UGC 452",110,"320","42,43","108,112","229,205","413",, , 
"M31 ","A  ","Andromeda IX","dSph",13.220833333333331,43.195833333333326,766, ,-207.7, ,770,-32,375,56, ,16.3,"  ",2.5, ,28.0,"  ",,"  ",, ,-8.1, ,0.15,6.5,-2.2, ,"Andromeda IX",24.42,40,0.075,0.07,0.07,0.2,25,25,1.2,1.2,0.1,0.1,29,29,3.6,3.6,,1.1,1.1,1.1,1.1,, , , ,"  ","  ",,4.5,"  ",N,90,,,"","","","",,2.7,,, , , , ,-19.7,123.2, ,"Co-added MRS (CaT)",29.2,"",557,"321","40,44","44,114","44,205","44",, , 
"M31 ","A  ","NGC 205","dE/dSph",10.092083333333331,41.68527777777777,824, ,-246.0, ,828,-67,433,22, ,8.1,"  ",2.46, ,15.4,":g",28,"  ",0.43, ,-16.5, ,330.0,420.0,-0.8, ,"NGC 205",24.58,42,0.085,0.07,0.07,0.2,27,27,,,0.1,0.1,31,31,5.0,5.0,,0.1,0.1,0.1,0.1,5.0, , , ,"  ","  ",0.4,35.0,"  ",N,56,,11.0,"","","H I velocity gradient of ~42km/s measured over ~3arcmin","",0.1,1.0,5,, , , , ,-21.1,120.7, ,"Isochrones",20.3,"M110,UGC 426",590,"322","40,45","108,112","231,232","415",16.1, ,g
"M31 ","A  ","Andromeda XVII","dSph",9.279166666666665,44.322222222222216,794, ,, ,798,,404,, ,15.8,"  ",1.24, ,25.7,"  ",122,"  ",0.27, ,-8.7, ,0.26,,-1.9, ,"Andromeda XVII",24.5,45,0.074,0.1,0.1,0.2,37,37,0.5,0.5,0.08,0.08,23,23,,,,0.4,0.4,0.4,0.4,, , , ,"  ","  ",,,"  ",N,,,,"","","","",0.06,,7,, , , , ,-18.5,120.2, ,"Isochrones",26.8,"",286,"323","46   ","115","205","416",, , 
"M31 ","A  ","Andromeda I","dSph",11.415833333333332,38.04111111111111,745, ,-375.8, ,749,-204,355,-116, ,12.7,"  ",3.1, ,24.7,"  ",22,"  ",0.22, ,-11.7, ,3.9,44.0,-1.45, ,"Andromeda I",24.36,58,0.053,0.07,0.07,0.04,24,24,0.2,0.2,0.3,0.3,69,69,1.1,1.1,,0.1,0.1,0.1,0.1,, , , ,"  ","  ",,10.6,"  ",N,-82,,,"","","","",0.04,1.4,15,, , , , ,-24.8,121.7, ,"Isochrones",25.8,"",672,"324","40,47","116","233,205","417",, , 
"M31 ","A  ","Andromeda XXVII","dSph",9.362916666666665,45.38694444444444,828, ,, ,832,,439,,h,16.7,"  ",1.8, ,27.6,"  ",150,"  ",0.4, ,-7.9, ,0.12,,-1.7, ,"Andromeda XXVII",24.59,75,0.08,0.12,0.12,0.2,46,46,0.5,0.5,0.3,0.3,76,76,,,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,,"  ", ,,,,"Tidally disrupting? Remnant?","","","",0.2,,10,, , , , ,-17.4,120.4, ,"Isochrones",28.3,"",434,"325","48   ","117","","235",, , 
"M31 ","A  ","Andromeda III","dSph",8.890833333333331,36.49777777777777,748, ,-345.6, ,752,-171,360,-83, ,14.4,"  ",2.2, ,24.8,"  ",136,"  ",0.52, ,-10.0, ,0.83,6.1,-1.78, ,"Andromeda III",24.37,75,0.056,0.07,0.07,0.04,24,24,0.2,0.2,0.2,0.2,46,46,1.8,1.8,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",,4.7,"  ",N,-49,,,"","","","",0.02,1.8,3,, , , ,h,-26.3,119.4, ,"Isochrones",26.2,"",479,"324","40,47","116","233,234,205","417",, , 
"M31 ","A  ","Andromeda XXV","dSph",7.5370833333333325,46.851944444444435,813, ,, ,817,,426,, ,14.8,"  ",3.0, ,27.1,"  ",170,"  ",0.25, ,-9.7, ,0.68,,-1.8, ,"Andromeda XXV",24.55,88,0.101,0.12,0.12,0.2,45,45,0.5,0.5,0.2,0.2,61,61,,,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.05,,10,, , , , ,-15.9,119.2, ,"Isochrones",27.8,"",709,"325","48   ","117","","325",, , 
"M31 ","A  ","Andromeda XXVI","dSph",5.9399999999999995,47.91611111111111,762, ,, ,766,,377,, ,17.3,"  ",1.0, ,27.4,"  ",145,"  ",0.25, ,-7.1, ,0.06,,-1.9, ,"Andromeda XXVI",24.41,103,0.11,0.12,0.12,0.2,42,42,0.5,0.5,0.1,0.1,25,25,,,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.05,,10,, , , , ,-14.7,118.1, ,"Isochrones",27.9,"",222,"325","48   ","117","","325",, , 
"M31 ","A  ","Andromeda XI","dSph",11.583333333333332,33.80138888888889,759, ,-419.6, ,763,-255,374,-167, ,17.5,"  ",0.71, ,26.5,"  ",,"  ",, ,-6.9, ,0.049,1.9,-2.0, ,"Andromeda XI",24.4,104,0.08,0.2,0.5,0.2,70,175,1.3,1.3,0.03,0.03,16,37,,,,1.2,1.2,1.3,1.3,, , , ,"<=","  ",,4.6,"  ",N,-134,,,"","","","",,4.4,,, , , , ,-29.1,121.7, ,"Co-added MRS (CaT)",27.6,"",157,"326","44   ","44,114","44,205","44",, , 
"M31 ","A  ","Andromeda V","dSph",17.57125,47.62805555555555,773, ,-403.0, ,778,-229,389,-143, ,15.3,"  ",1.4, ,25.3,"  ",32,"  ",0.18, ,-9.1, ,0.39,,-1.6, ,"Andromeda V",24.44,110,0.125,0.08,0.08,0.3,28,28,0.2,0.2,0.2,0.2,46,46,5.3,4.4,,0.2,0.2,0.2,0.2,, , , ,"  ","  ",,11.5,"  ",N,-109,,,"","","Not associated with HI detection in Blitz & Robishaw (2000ApJ...541..675B)","",0.05,4.0,10,, , , , ,-15.1,126.2, ,"Co-added LRS (CaT)",26.7,"",315,"327","40,49","116","235,234,205","235",, , 
"M31 ","A  ","Andromeda X","dSph",16.640416666666663,44.804444444444435,701, ,-163.8, ,706,8,314,95, ,16.6,"  ",1.3, ,26.3,"  ",46,"  ",0.44, ,-7.6, ,0.096,2.3,-1.93, ,"Andromeda X",24.23,110,0.129,0.21,0.21,0.11,68,68,1.1,1.1,0.1,0.1,33,33,1.2,1.2,,1.0,1.0,1.0,1.0,, , , ,"  ","  ",,3.9,"  ",N,128,,,"","","","",0.06,1.2,5,, , , , ,-18.0,125.8, ,"Isochrones",27.4,"",265,"328","50,47","115","233,205","417",, , 
"M31 ","A  ","Andromeda XXIII","dSph",22.34083333333333,38.718888888888884,769, ,, ,774,,388,, ,14.2,"  ",4.6, ,28.0,"  ",138,"  ",0.4, ,-10.2, ,1.1,,-1.8, ,"Andromeda XXIII",24.43,127,0.066,0.13,0.13,0.2,46,46,0.5,0.5,0.2,0.2,76,76,,,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.05,,5,, , , , ,-23.6,131.0, ,"Isochrones",27.8,"",1029,"325","48   ","117","","325",, , 
"M31 ","A  ","Andromeda XX","dSph",1.8779166666666665,35.13222222222222,802, ,, ,805,,420,, ,18.2,"  ",0.53, ,26.2,"  ",80,"  ",0.3, ,-6.3, ,0.029,,-1.5, ,"Andromeda XX",24.52,129,0.059,0.74,0.24,0.1,273,89,0.8,0.8,0.14,0.04,53,17,,,,0.8,0.8,1.1,0.8,, , , ,"  ","  ",,,"  ", ,,,,"","","","",0.15,,20,, , , , ,-26.9,112.9, ,"Isochrones",27.3,"",124,"329","51   ","118","","329",, , 
"M31 ","A,L","Andromeda XII","dSph",11.862499999999999,34.37472222222222,871, ,-558.4, ,875,-393,485,-306, ,18.3,"  ",1.2, ,28.5,"  ",,"  ",, ,-6.4, ,0.031,1.2,-2.1, ,"Andromeda XII",24.7,133,0.11,0.3,0.3,0.2,120,120,1.3,1.3,0.2,0.2,66,66,5.1,2.6,,1.2,1.2,1.2,1.2,, , , ,"  ","  ",,2.6,"  ",N,-272,,,"Unbound to M31?","","","",,3.2,,, , , , ,-28.5,122.0, ,"Co-added MRS (CaT)",29.6,"",304,"326","44   ","44,114","44,205","44",, , 
